attack,epsilon,trial,acc_before,acc_after,ber,n_errors,n_bits,loss,time_s
fgsm,0.0000,0,1.000000,1.000000,0.0000000000e+00,0,8496,0.998816,0.63
fgsm,0.0000,1,1.000000,1.000000,0.0000000000e+00,0,8496,0.999455,0.04
fgsm,0.0000,2,1.000000,1.000000,0.0000000000e+00,0,8496,0.999783,0.04
fgsm,0.0000,3,1.000000,1.000000,0.0000000000e+00,0,8496,0.998632,0.04
fgsm,0.0000,4,1.000000,1.000000,0.0000000000e+00,0,8496,0.999493,0.04
fgsm,0.0100,0,1.000000,0.960000,0.0000000000e+00,0,8496,0.994848,0.04
fgsm,0.0100,1,1.000000,0.950000,0.0000000000e+00,0,8496,0.994370,0.04
fgsm,0.0100,2,1.000000,0.970000,0.0000000000e+00,0,8496,0.999895,0.04
fgsm,0.0100,3,1.000000,0.960000,0.0000000000e+00,0,8496,0.999591,0.06
fgsm,0.0100,4,1.000000,0.940000,0.0000000000e+00,0,8496,0.999921,0.04
fgsm,0.0500,0,1.000000,0.400000,0.0000000000e+00,0,8496,0.999940,0.04
fgsm,0.0500,1,1.000000,0.350000,0.0000000000e+00,0,8496,0.999569,0.04
fgsm,0.0500,2,1.000000,0.390000,0.0000000000e+00,0,8496,0.999863,0.04
fgsm,0.0500,3,1.000000,0.330000,0.0000000000e+00,0,8496,0.999924,0.04
fgsm,0.0500,4,1.000000,0.360000,0.0000000000e+00,0,8496,0.998434,0.04
fgsm,0.1000,0,1.000000,0.400000,0.0000000000e+00,0,8496,0.994885,0.04
fgsm,0.1000,1,1.000000,0.400000,0.0000000000e+00,0,8496,0.999946,0.04
fgsm,0.1000,2,1.000000,0.390000,0.0000000000e+00,0,8496,0.998829,0.04
fgsm,0.1000,3,1.000000,0.390000,0.0000000000e+00,0,8496,0.997979,0.04
fgsm,0.1000,4,1.000000,0.410000,0.0000000000e+00,0,8496,0.999898,0.04
fgsm,0.1500,0,1.000000,0.400000,0.0000000000e+00,0,8496,0.998701,0.04
fgsm,0.1500,1,1.000000,0.420000,0.0000000000e+00,0,8496,0.999821,0.04
fgsm,0.1500,2,1.000000,0.410000,0.0000000000e+00,0,8496,0.999908,0.04
fgsm,0.1500,3,1.000000,0.490000,0.0000000000e+00,0,8496,0.999780,0.04
fgsm,0.1500,4,1.000000,0.530000,0.0000000000e+00,0,8496,0.994816,0.04
fgsm,0.2000,0,1.000000,0.480000,0.0000000000e+00,0,8496,0.998626,0.04
fgsm,0.2000,1,1.000000,0.590000,0.0000000000e+00,0,8496,0.998840,0.04
fgsm,0.2000,2,1.000000,0.580000,0.0000000000e+00,0,8496,0.999830,0.04
fgsm,0.2000,3,1.000000,0.560000,0.0000000000e+00,0,8496,0.999883,0.04
fgsm,0.2000,4,1.000000,0.500000,0.0000000000e+00,0,8496,0.999975,0.04
fgsm,0.3000,0,1.000000,0.610000,0.0000000000e+00,0,8496,0.998740,0.04
fgsm,0.3000,1,1.000000,0.540000,0.0000000000e+00,0,8496,0.994116,0.04
fgsm,0.3000,2,1.000000,0.540000,0.0000000000e+00,0,8496,0.999778,0.04
