attack,epsilon,trial,acc_before,acc_after,attack_success,ber_bpsk,ber_qpsk,ber_16qam,ber_64qam,loss,time_s,pred_dist
fgsm,0.0000,0,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.998816,0.20,"[0, 0, 0, 0, 100, 0, 0]"
fgsm,0.0000,1,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999455,0.04,"[0, 0, 0, 0, 100, 0, 0]"
fgsm,0.0000,2,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999784,0.04,"[0, 0, 0, 0, 100, 0, 0]"
fgsm,0.0000,3,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.998632,0.04,"[0, 0, 0, 0, 100, 0, 0]"
fgsm,0.0000,4,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999493,0.04,"[0, 0, 0, 0, 100, 0, 0]"
fgsm,0.0100,0,1.000000,0.960000,0.040000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.994848,0.48,"[0, 1, 0, 0, 96, 0, 3]"
fgsm,0.0100,1,1.000000,0.950000,0.050000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.994370,0.05,"[0, 1, 2, 0, 95, 0, 2]"
fgsm,0.0100,2,1.000000,0.970000,0.030000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999895,0.05,"[0, 2, 0, 0, 97, 0, 1]"
fgsm,0.0100,3,1.000000,0.960000,0.040000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999591,0.05,"[0, 0, 0, 0, 96, 0, 4]"
fgsm,0.0100,4,1.000000,0.940000,0.060000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999921,0.05,"[0, 3, 0, 0, 94, 0, 3]"
fgsm,0.0500,0,1.000000,0.400000,0.600000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,0.999940,0.05,"[0, 10, 23, 0, 40, 4, 23]"
fgsm,0.0500,1,1.000000,0.350000,0.650000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,0.999569,0.05,"[0, 9, 28, 1, 35, 2, 25]"
fgsm,0.0500,2,1.000000,0.390000,0.610000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,0.999863,0.05,"[0, 9, 25, 0, 39, 6, 21]"
fgsm,0.0500,3,1.000000,0.330000,0.670000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,0.999924,0.05,"[0, 6, 23, 0, 33, 7, 31]"
fgsm,0.0500,4,1.000000,0.360000,0.640000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,0.998434,0.05,"[0, 14, 25, 0, 36, 8, 17]"
fgsm,0.1000,0,1.000000,0.400000,0.600000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,0.994885,0.05,"[0, 9, 36, 2, 40, 2, 11]"
fgsm,0.1000,1,1.000000,0.400000,0.600000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,0.999946,0.05,"[0, 10, 32, 0, 40, 7, 11]"
fgsm,0.1000,2,1.000000,0.390000,0.610000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,0.998828,0.05,"[0, 6, 35, 0, 39, 6, 14]"
fgsm,0.1000,3,1.000000,0.390000,0.610000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,0.997979,0.05,"[0, 8, 37, 0, 39, 8, 8]"
fgsm,0.1000,4,1.000000,0.410000,0.590000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,0.999898,0.05,"[0, 7, 33, 1, 41, 9, 9]"
fgsm,0.2000,0,1.000000,0.480000,0.520000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,0.998625,0.05,"[3, 2, 43, 0, 48, 4, 0]"
fgsm,0.2000,1,1.000000,0.590000,0.410000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,0.998840,0.05,"[1, 3, 34, 0, 59, 3, 0]"
fgsm,0.2000,2,1.000000,0.580000,0.420000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,0.999830,0.05,"[2, 3, 31, 0, 58, 6, 0]"
fgsm,0.2000,3,1.000000,0.560000,0.440000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,0.999883,0.05,"[1, 2, 37, 0, 56, 4, 0]"
fgsm,0.2000,4,1.000000,0.500000,0.500000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,0.999975,0.05,"[5, 2, 41, 0, 50, 2, 0]"
fgsm,0.3000,0,1.000000,0.610000,0.390000,1.607631e-16,3.882018e-09,3.683728e-03,6.058269e-02,0.998739,0.05,"[10, 0, 22, 0, 61, 7, 0]"
fgsm,0.3000,1,1.000000,0.540000,0.460000,1.607631e-16,3.882018e-09,3.683728e-03,6.058269e-02,0.994116,0.05,"[10, 0, 27, 0, 54, 9, 0]"
fgsm,0.3000,2,1.000000,0.540000,0.460000,1.607631e-16,3.882018e-09,3.683728e-03,6.058269e-02,0.999778,0.05,"[7, 0, 30, 0, 54, 9, 0]"
fgsm,0.3000,3,1.000000,0.540000,0.460000,1.607631e-16,3.882018e-09,3.683728e-03,6.058269e-02,0.994876,0.05,"[9, 0, 26, 0, 54, 11, 0]"
fgsm,0.3000,4,1.000000,0.650000,0.350000,1.607631e-16,3.882018e-09,3.683728e-03,6.058269e-02,0.999930,0.05,"[3, 0, 25, 0, 65, 7, 0]"
fgsm,0.5000,0,1.000000,0.110000,0.890000,4.816785e-07,2.660028e-04,4.550072e-02,1.311601e-01,0.999874,0.05,"[71, 0, 1, 0, 11, 17, 0]"
fgsm,0.5000,1,1.000000,0.120000,0.880000,4.816785e-07,2.660028e-04,4.550072e-02,1.311601e-01,0.994422,0.05,"[67, 0, 0, 0, 12, 21, 0]"
fgsm,0.5000,2,1.000000,0.070000,0.930000,4.816785e-07,2.660028e-04,4.550072e-02,1.311601e-01,0.999619,0.05,"[76, 0, 1, 0, 7, 16, 0]"
fgsm,0.5000,3,1.000000,0.060000,0.940000,4.816785e-07,2.660028e-04,4.550072e-02,1.311601e-01,0.998375,0.05,"[75, 0, 1, 0, 6, 18, 0]"
fgsm,0.5000,4,1.000000,0.120000,0.880000,4.816785e-07,2.660028e-04,4.550072e-02,1.311601e-01,0.999762,0.05,"[65, 0, 0, 0, 12, 23, 0]"
pgd,0.0000,0,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.998816,0.04,"[0, 0, 0, 0, 100, 0, 0]"
pgd,0.0000,1,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999455,0.04,"[0, 0, 0, 0, 100, 0, 0]"
pgd,0.0000,2,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999784,0.04,"[0, 0, 0, 0, 100, 0, 0]"
pgd,0.0000,3,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.998632,0.04,"[0, 0, 0, 0, 100, 0, 0]"
pgd,0.0000,4,1.000000,1.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.999493,0.04,"[0, 0, 0, 0, 100, 0, 0]"
pgd,0.0100,0,1.000000,0.950000,0.050000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.884695,4.36,"[0, 1, 0, 0, 95, 0, 4]"
pgd,0.0100,1,1.000000,0.930000,0.070000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.848209,4.34,"[0, 1, 2, 0, 93, 0, 4]"
pgd,0.0100,2,1.000000,0.950000,0.050000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.886001,4.44,"[0, 2, 0, 0, 95, 0, 3]"
pgd,0.0100,3,1.000000,0.960000,0.040000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.884200,4.30,"[0, 0, 0, 0, 96, 0, 4]"
pgd,0.0100,4,1.000000,0.940000,0.060000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.875317,4.32,"[0, 3, 0, 0, 94, 0, 3]"
pgd,0.0500,0,1.000000,0.030000,0.970000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,-0.934518,4.27,"[0, 16, 47, 4, 3, 7, 23]"
pgd,0.0500,1,1.000000,0.010000,0.990000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,-0.972853,4.20,"[0, 17, 50, 1, 1, 7, 24]"
pgd,0.0500,2,1.000000,0.080000,0.920000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,-0.834928,4.23,"[0, 16, 45, 2, 8, 9, 20]"
pgd,0.0500,3,1.000000,0.030000,0.970000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,-0.939866,4.28,"[0, 10, 43, 2, 3, 11, 31]"
pgd,0.0500,4,1.000000,0.050000,0.950000,0.000000e+00,3.049784e-263,1.474812e-54,1.182058e-14,-0.906264,4.30,"[0, 20, 50, 0, 5, 7, 18]"
pgd,0.1000,0,1.000000,0.000000,1.000000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,-1.000000,4.40,"[0, 16, 70, 2, 0, 4, 8]"
pgd,0.1000,1,1.000000,0.000000,1.000000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,-0.999999,4.39,"[0, 18, 66, 2, 0, 8, 6]"
pgd,0.1000,2,1.000000,0.000000,1.000000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,-1.000000,4.40,"[0, 18, 64, 8, 0, 5, 5]"
pgd,0.1000,3,1.000000,0.000000,1.000000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,-1.000000,4.34,"[0, 15, 65, 4, 0, 9, 7]"
pgd,0.1000,4,1.000000,0.000000,1.000000,8.370840e-133,1.647181e-67,3.557152e-15,4.580692e-05,-1.000000,4.23,"[0, 11, 72, 7, 0, 8, 2]"
pgd,0.2000,0,1.000000,0.000000,1.000000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,-1.000000,4.39,"[0, 5, 91, 3, 0, 1, 0]"
pgd,0.2000,1,1.000000,0.000000,1.000000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,-1.000000,4.39,"[1, 2, 92, 4, 0, 1, 0]"
pgd,0.2000,2,1.000000,0.000000,1.000000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,-1.000000,4.39,"[0, 5, 84, 3, 0, 8, 0]"
pgd,0.2000,3,1.000000,0.000000,1.000000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,-1.000000,4.36,"[0, 6, 85, 4, 0, 5, 0]"
pgd,0.2000,4,1.000000,0.000000,1.000000,8.668216e-35,2.353570e-18,4.031669e-05,1.714467e-02,-1.000000,4.34,"[0, 6, 85, 5, 0, 4, 0]"
pgd,0.3000,0,1.000000,0.000000,1.000000,1.607631e-16,3.882018e-09,3.683728e-03,6.058269e-02,-1.000000,4.34,"[2, 1, 92, 1, 0, 4, 0]"
pgd,0.3000,1,1.000000,0.000000,1.000000,1.607631e-16,3.882018e-09,3.683728e-03,6.058269e-02,-1.000000,4.31,"[0, 2, 92, 3, 0, 3, 0]"
pgd,0.3000,2,1.000000,0.000000,1.000000,1.607631e-16,3.882018e-09,3.683728e-03,6.058269e-02,-1.000000,4.26,"[2, 2, 93, 2, 0, 1, 0]"
