attack,epsilon,trial,acc_before,acc_after,ber_pert,n_errors,n_bits,loss,time_s
fgsm,0.0,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.626484,1.08
fgsm,0.0,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.692347,0.06
fgsm,0.0,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.648249,0.07
fgsm,0.0,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.642315,0.05
fgsm,0.0,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.689041,0.05
fgsm,0.01,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.684147,0.05
fgsm,0.01,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.687307,0.05
fgsm,0.01,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.731203,0.05
fgsm,0.01,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.654478,0.05
fgsm,0.01,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.679159,0.05
fgsm,0.05,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.638468,0.05
fgsm,0.05,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.704803,0.05
fgsm,0.05,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.649551,0.05
fgsm,0.05,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.684664,0.06
fgsm,0.05,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.644289,0.05
fgsm,0.1,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.666113,0.05
fgsm,0.1,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.634344,0.05
fgsm,0.1,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.644831,0.05
fgsm,0.1,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.743912,0.05
fgsm,0.1,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.698826,0.05
fgsm,0.15,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.647453,0.05
fgsm,0.15,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.660395,0.05
fgsm,0.15,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.662264,0.05
fgsm,0.15,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.674990,0.06
fgsm,0.15,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.713049,0.05
fgsm,0.2,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.653084,0.05
fgsm,0.2,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.673220,0.05
fgsm,0.2,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.644676,0.05
fgsm,0.2,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.683050,0.05
fgsm,0.2,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.663620,0.05
fgsm,0.3,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.685707,0.05
fgsm,0.3,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.679821,0.05
fgsm,0.3,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.659389,0.05
fgsm,0.3,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.675604,0.05
fgsm,0.3,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.658421,0.05
fgsm,0.5,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.663336,0.05
fgsm,0.5,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.661125,0.07
fgsm,0.5,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.658169,0.10
fgsm,0.5,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.680313,0.06
fgsm,0.5,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.658188,0.05
pgd,0.0,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.626484,8.09
pgd,0.0,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.692347,8.06
pgd,0.0,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.648249,8.05
pgd,0.0,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.642315,8.05
pgd,0.0,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.689041,8.09
pgd,0.01,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.683683,8.10
pgd,0.01,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.687084,8.13
pgd,0.01,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.730633,8.12
pgd,0.01,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.653963,8.14
pgd,0.01,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.678122,8.14
pgd,0.05,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.637117,8.10
pgd,0.05,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.694229,8.00
pgd,0.05,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.640816,8.12
pgd,0.05,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.679571,8.02
pgd,0.05,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.637665,8.02
pgd,0.1,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.637611,8.01
pgd,0.1,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.604700,7.97
pgd,0.1,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.616089,7.99
pgd,0.1,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.718336,7.98
pgd,0.1,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.673748,8.00
pgd,0.15,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.599857,8.01
pgd,0.15,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.602112,8.01
pgd,0.15,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.601112,8.07
pgd,0.15,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.614141,8.02
pgd,0.15,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.659554,8.00
pgd,0.2,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.557167,8.00
pgd,0.2,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.573450,7.99
pgd,0.2,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.545359,8.22
pgd,0.2,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.581371,8.16
pgd,0.2,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.560713,8.17
pgd,0.3,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.474928,8.16
pgd,0.3,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.453941,8.17
pgd,0.3,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.434446,8.24
pgd,0.3,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.454605,8.16
pgd,0.3,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.450790,8.15
pgd,0.5,0,0.000000,0.000000,0.0000000000e+00,0,8496,-19.035057,8.17
pgd,0.5,1,0.000000,0.000000,0.0000000000e+00,0,8496,-19.043180,8.17
pgd,0.5,2,0.000000,0.000000,0.0000000000e+00,0,8496,-19.030855,8.06
pgd,0.5,3,0.000000,0.000000,0.0000000000e+00,0,8496,-19.070105,7.95
pgd,0.5,4,0.000000,0.000000,0.0000000000e+00,0,8496,-19.051523,7.98
